case_id,week,popwght,state,dma,nielsen,countyc,metro,region,division,ownhome,mstatus,emply,hhcomp,adults,adultm,adultf,kids1217,kids611,kids06,di22a1,di22a2,di22a3,di22a4,di22a5,di22b1,di22b2,di22b3,di22b4,di22b5,di22c1,di22c2,di22c3,di22c4,di22c5,parent,age,age2,educ,income,race,affilrot,polaffil,d3rot,d3_a,regvote,othtel,sex,reli1,ident,l1,l2a,c1,c2,c1a,qnco1,qnco3,healask,heal1,heal2,heal3,heal4,heal5,heal6,heal7,heal8,heal9_1,heal9_2,heal9_3,heal9_4,heal9min,heal9hr,heal10_1,heal10_2,heal10_3,heal10_4,heal10min,heal10hr,heal11,heal12,heal13,heal14,heal15,heal16,heal17,heal18,heal19,heal20,heal21,ha22v1,heal22,heal23,heal24,heal25,heal26,ha27rot,heal27a,heal27b,heal27c,heal27d,heal27e,heal27f,heal27g,heal28,heal29,heal30,heal31,ha32rot,heal32a,heal32b,heal32c,heal32d,heal33a,heal33b,heal33c,heal33d,heal33e,heal33f,heal33g,heal34,heal35,heal36,ha37rot,heal37a,heal37b,heal37c,heal37d,heal37e,heal37f,heal37g,heal38,heal39,heal40,heal41,heal42,heal43,heal44,heal45,heal46,heal47,heal48,heal49,heal50_01,heal50_02,heal50_03,heal50_04,heal50_05,heal50_06,heal50_07,heal50_08,heal50_09,heal50_10,heal50_11,heal50_12,heal50_13,heal50_14,heal50_15,heal50_16,heal50_17,heal51,heal52,heal53,ha54rot,heal54,ha55rot,ha55rot2,heal55a,heal55b,heal55c,heal55d,heal55e,heal55f,heal55g,heal55h,heal56,heal57,heal58,bmi
10000176,607,0.2275, , ,D, ,5,3, ,1,3,3,2,2,1,1, , , , , , , , , , , , , , , , , , ,2,62, ,3,12,2,3,2,1,4,1,0,2,23,1,1,2, , ,2, , ,2,2,0,0,3,1,3, ,3,1,0,0,0,30, ,0,0,1,0, , ,2,2,1,4,1,2,1,1,1,1,1,3,1,2,1, ,2,DBFAEGC,1,2,2,2,2,2,2,1,2,2, ,CABD,2,2,2,2,1,2,2,2,1,2,1, , ,1,CEAFGDB,2,2,2,2,2,2,2,4,2,1,1, ,1,1,4,1,3,2, ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, , ,1,2,3,1,FADCBGHE,2,2,2,2,2,2,8,2,3,1, ,34.7
10000179,607,0.1705, , ,A, ,3,2, ,1,5,3,1,1,0,1, , , , , , , , , , , , , , , , , , ,2,67, ,4,4,2,3,2,2,3,1,0,2,1,1,1,2, , ,2, , ,2,4,20,0,3,1,2,2,3,1,1,0,0,30,1,1,0,0,0,5, ,2,3,1,1,1,2,1,2,1,1,1,4,1,2,1, ,2,FGADCEB,2,1,2,2,2,1,2,1,2,1,1,DBCA,2,2,2,2,2,2,1,2,2,2,1, , ,1,EAFBCDG,1,2,2,2,2,2,2,4,2,1,1, ,3,4,4,3,4,2, ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, , ,5,1,2,1,GHFEDCBA,2,2,2,2,3,2,3,2,3,1, ,20.5
10000180,809,0.7258, , ,B, ,2,3, ,1,1,1,1,1,0,1, , , , , , , , , , , , , , , , , , ,2,72, ,1,2,3,3,3,2,4,1,0,2,2,1,1,2, , ,1,3,68,3,2,0,0,3,2,3, ,0,0,0,0,0, , ,0,1,0,0, ,1,2,2,2,3,1,2,1,2,1,1,1,4,2,2,2, ,1,GCDBEAF,1,1,2,2,1,2,2,2, ,2, ,BACD,2,2,2,2,2,2,1,2,2,2,2, , ,1,CAEDFBG,2,2,2,2,2,2,2,4,2,1,1, ,2,2,2,2,3,2, ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, , ,5,2,3,1,BDHCAGFE,2,2,2,2,2,2,2,2,2,2,1,24.4
10000182,809,0.5421, , ,C, ,1,3, ,1,5,4,3,2,1,1,1,0,0,14, , , , , , , , , , , , , , ,2,68, ,1,1,3,3,2,1,2,1,0,2,2,1,1,2, , ,5,1, ,3,4,0,0,3,2,3, ,0,0,0,0,0, , ,0,1,0,0, ,6,1,1,1,2,1,1,1,2,1,1,1,4,1,2,1, ,1,BFEDAGC,1,2,2,2,2,2,1,1,1,1,1,BACD,2,2,2,2,2,2,1,2,2,2,2, , ,1,GDBFAEC,2,2,2,2,2,2,2,1,2,1,1, ,1,2,4,3,4,2, ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,4,1,3,1,GADEBCHF,2,2,1,1,2,2,2,2,3,2,1,36.8
10000193,607,0.4641, , ,A, ,2,4, ,1,6,3,2,2,1,1, , , , , , , , , , , , , , , , , , ,2,65, ,5,1,3,4,2,1,2,1,0,2,2,1,1,2, , ,1,1, ,3,3,20,25,2,2,3, ,97,0,0,0,0, , ,1,0,0,0,2, ,1,5,1,4,1,1,1,2,1,1,1,4,1,2,1, ,1,EBGDACF,1,2,1,2,2,2,1,1,2,1,1,BCDA,2,2,2,2,2,1,1,2,2,2,2, , ,1,CBGAFED,2,2,2,2,2,2,2,4,2,1,1, ,1,1,2,1,1,1,1, , , , , , , , , , , , , , , , , , , ,1,1,1,1,GCDAHBFE,2,2,2,2,2,2,1,2,3,1, ,33.8
10000197,607,0.3126, , ,B, ,1,4, ,2,6,2,4,2,0,2,2,0,0,16,13, , , , , , , , , , , , , ,1,40, ,4,2,3,4,3,2,3,1,0,2,1,1,1,2, , ,0,1, ,3,4,5,10,3,2,3, ,2,1,0,0,0,30, ,1,0,0,0,15, ,2,2,2,1,2,2,2,1,2, ,2,2,2,2,2, ,2,AGBEDFC,2,2,2,1,2,2,2,1,1,1,2,ADCB,2,2,2,2,2,2,2,1,2,2,2, , ,1,GCDBEFA,2,2,2,1,2,2,2,2,2,1,1, ,2,2,4,2,2,1,2, , , , , , , , , , , , , , , , , , , ,2,1,1,1,DEHBCGFA,1,2,2,1,1,3,3,1,3,2,1,29.6
10000199,607,0.1633, , ,D, ,5,4, ,1,3,7,2,2,1,1, , , , , , , , , , , , , , , , , , ,2,52, ,3,5,3,3,3,2,2,2,0,2,2,1,1,3, , ,1,1, ,3,4,7,7,3,1,1,2,0,0,0,0,0, , ,0,1,0,0, ,8,2,3,2,4,1,2,1,1,1,2,2,2,2,1,2, ,2,DAFCBEG,2,2,1,1,2,2,1,1,2,1,2,BACD,2,2,2,2,1,2,1,2,2,2,2, , ,1,EFCDBGA,2,2,2,2,2,2,2,3,2,1,1, ,4,3,3,2,3,2, ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, , ,3,1,3,2,GCFHBADE,2,2,2,2,2,2,2,2,3,2,1,36.6
10000205,607,0.3812, , ,A, ,4,4, ,1,1,2,1,1,1,0, , , , , , , , , , , , , , , , , , ,2,56, ,3,1,3,2,1,1,3,1,0,1,2,1,1,3, , ,1,1, ,3,2,0,4,3,1,1,2,4,0,1,0,0, ,1,1,0,0,0,1, ,2,5,1,3,1,2,4,2,1,2,1,3,2,2,2, ,2,EDCFAGB,2,2,2,2,1,2,2,2, ,2, ,DABC,2,2,2,3,2,2,2,1,2,2,2, , ,1,DCAFBEG,2,1,2,1,2,1,2,2,2,1,1, ,4,1,2,1,1,2, ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, , ,1,1,8,1,BGHAEDCF,2,3,3,2,1,2,3,1,1,1, ,26.4
10000205,809,0.5715, , ,A, ,1,4, ,1,3,3,4,4,2,2, , , , , , , , , , , , , , , , , , ,2,65, ,2,4,3,4,2,1,3,1,0,2,2,3,1,3, , ,1,3,35,3,4,15,0,2,2,3, ,5,0,1,0,0, ,1,1,0,0,0,15, ,1,2,2,4,1,1,1,1,1,1,1,4,1,1,1, ,2,DFEABGC,1,2,2,2,2,1,2,1,2,1,1,CBDA,2,2,2,2,2,1,1,2,2,2,2, , ,1,DACGBFE,2,2,2,2,2,2,2,2,2,1,1, ,3,1,3,1,1,2, ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, , ,4,1,3,2,CHBAFGDE,2,2,2,3,2,3,3,2,2,2,3,29.3
10000211,607,0.4264, , ,B, ,3,3, ,2,2,6,5,2,1,1,2,0,1,14,13, , , , , , , , ,4, , , , ,1,43, ,2,6,3,1,3,1,2,1,0,1,2,1,1,2, , ,1,1, ,3,4,30,30,3,1,2,2,97,0,0,0,0, , ,0,0,1,0, , ,2,4,1,2,2,2,1,2,1, ,2,2,2,1,1, ,2,EFGDACB,2,2,1,1,2,2,2,1,2,1,1,DBCA,2,2,1,2,2,1,1,1,1,2,2, , ,1,GCFDBAE,1,2,2,2,2,2,2,1,2,1,1, ,2,3,1,3,4,2, ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, , ,1,2,1,1,DHEGFBAC,2,2,2,1,2,2,3,1,1,1, ,24.4
